customer_id,customer_name,gender,age,city,state,country,signup_date,customer_segment,income_group
108,Customer_108,M,21,San Diego,CA,USA,2023-04-03,Premium,Medium
109,Customer_109,M,68,Toronto,ON,Canada,2024-03-01,Corporate,High
110,Customer_110,F,27,Sydney,NSW,Australia,2023-10-22,Regular,Medium
111,Customer_111,F,36,Austin,TX,USA,2022-06-19,Premium,Medium
112,Customer_112,M,31,Munich,Bavaria,Germany,2022-04-16,Corporate,Low
113,Customer_113,M,20,Munich,Bavaria,Germany,2022-10-07,Corporate,High
114,Customer_114,M,41,Sydney,NSW,Australia,2023-11-05,Regular,High
115,Customer_115,M,22,Munich,Bavaria,Germany,2022-05-27,Corporate,Low
116,Customer_116,F,67,Los Angeles,CA,USA,2022-09-09,Premium,Low
117,Customer_117,F,38,Vancouver,BC,Canada,2023-06-03,Premium,Medium
118,Customer_118,M,28,Toronto,ON,Canada,2022-03-06,Corporate,Low
119,Customer_119,M,23,Dallas,TX,USA,2023-07-09,Corporate,Medium
120,Customer_120,M,44,Sydney,NSW,Australia,2023-01-17,Corporate,Low
121,Customer_121,M,59,Munich,Bavaria,Germany,2022-08-15,Premium,Low
122,Customer_122,M,37,San Diego,CA,USA,2023-05-22,Regular,High
123,Customer_123,F,30,Munich,Bavaria,Germany,2022-05-26,Premium,Low
124,Customer_124,M,48,Vancouver,BC,Canada,2023-01-29,Corporate,Medium
125,Customer_125,M,25,Toronto,ON,Canada,2023-05-10,Premium,Medium
126,Customer_126,M,24,Vancouver,BC,Canada,2023-08-27,Premium,Medium
127,Customer_127,M,25,London,England,UK,2024-04-17,Corporate,Medium
128,Customer_128,F,51,Sydney,NSW,Australia,2022-08-19,Premium,Low
129,Customer_129,F,60,Munich,Bavaria,Germany,2024-03-06,Premium,High
130,Customer_130,M,25,Sydney,NSW,Australia,2022-01-16,Premium,Medium
131,Customer_131,M,54,Vancouver,BC,Canada,2022-11-09,Corporate,High
132,Customer_132,F,47,Toronto,ON,Canada,2022-06-06,Regular,High
133,Customer_133,F,48,Sydney,NSW,Australia,2024-03-01,Corporate,Medium
134,Customer_134,F,47,Munich,Bavaria,Germany,2022-06-25,Premium,Low
135,Customer_135,M,66,Vancouver,BC,Canada,2023-07-23,Corporate,Medium
136,Customer_136,M,30,Sydney,NSW,Australia,2024-03-08,Regular,Medium
137,Customer_137,F,33,Munich,Bavaria,Germany,2023-05-25,Regular,Low
138,Customer_138,M,57,Vancouver,BC,Canada,2022-05-30,Premium,Medium
139,Customer_139,F,22,Dallas,TX,USA,2022-08-13,Regular,High
140,Customer_140,M,32,Vancouver,BC,Canada,2023-12-18,Regular,Medium
141,Customer_141,F,38,Sydney,NSW,Australia,2023-10-07,Regular,Medium
142,Customer_142,M,22,San Diego,CA,USA,2022-03-09,Regular,Low
143,Customer_143,F,65,Munich,Bavaria,Germany,2022-01-07,Corporate,High
144,Customer_144,M,70,Los Angeles,CA,USA,2024-04-16,Premium,Low
145,Customer_145,M,53,Sydney,NSW,Australia,2022-11-07,Corporate,High
146,Customer_146,M,24,London,England,UK,2023-06-08,Premium,Medium
147,Customer_147,M,25,Manchester,England,UK,2022-09-04,Regular,High
148,Customer_148,F,29,Vancouver,BC,Canada,2023-12-10,Regular,High
149,Customer_149,F,66,Munich,Bavaria,Germany,2022-09-19,Regular,Medium
150,Customer_150,F,70,San Diego,CA,USA,2022-07-20,Regular,High
151,Customer_151,M,29,Sydney,NSW,Australia,2022-09-11,Premium,High
152,Customer_152,M,53,Manchester,England,UK,2023-09-10,Regular,Low
153,Customer_153,M,41,Munich,Bavaria,Germany,2022-11-23,Premium,Medium
154,Customer_154,F,35,Manchester,England,UK,2023-10-04,Premium,Low
155,Customer_155,M,27,London,England,UK,2023-07-05,Premium,Medium
156,Customer_156,M,32,Sydney,NSW,Australia,2024-01-07,Regular,Low
157,Customer_157,F,37,New York,NY,USA,2022-11-13,Premium,High
158,Customer_158,F,47,Manchester,England,UK,2023-07-08,Corporate,High
159,Customer_159,M,41,Sydney,NSW,Australia,2022-10-22,Premium,Low
160,Customer_160,M,20,Toronto,ON,Canada,2024-01-15,Premium,High
161,Customer_161,M,59,Sydney,NSW,Australia,2024-04-05,Regular,Medium
162,Customer_162,F,66,Munich,Bavaria,Germany,2022-12-12,Premium,Low
163,Customer_163,M,65,London,England,UK,2023-10-19,Premium,High
164,Customer_164,M,53,Toronto,ON,Canada,2024-06-07,Premium,Medium
165,Customer_165,F,62,San Diego,CA,USA,2024-05-12,Corporate,Medium
166,Customer_166,F,40,San Diego,CA,USA,2024-01-27,Premium,Low
167,Customer_167,M,61,Munich,Bavaria,Germany,2023-11-22,Premium,Medium
168,Customer_168,M,60,Toronto,ON,Canada,2023-10-21,Regular,High
169,Customer_169,M,56,Toronto,ON,Canada,2023-07-10,Corporate,High
170,Customer_170,F,59,Austin,TX,USA,2023-05-15,Corporate,High
171,Customer_171,M,28,Munich,Bavaria,Germany,2023-08-21,Corporate,High
172,Customer_172,M,69,Toronto,ON,Canada,2023-09-22,Corporate,High
173,Customer_173,M,39,Munich,Bavaria,Germany,2022-09-20,Regular,Medium
174,Customer_174,M,49,New York,NY,USA,2023-10-22,Regular,Low
175,Customer_175,M,58,Manchester,England,UK,2024-02-29,Premium,Medium
176,Customer_176,F,39,Sydney,NSW,Australia,2023-03-11,Regular,Medium
177,Customer_177,F,36,Vancouver,BC,Canada,2022-09-18,Premium,Low
178,Customer_178,M,62,Toronto,ON,Canada,2022-11-12,Corporate,Low
179,Customer_179,F,44,Vancouver,BC,Canada,2022-10-28,Corporate,Medium
180,Customer_180,F,28,Manchester,England,UK,2024-02-16,Premium,High
181,Customer_181,M,51,Munich,Bavaria,Germany,2023-09-26,Corporate,Medium
182,Customer_182,F,56,Austin,TX,USA,2022-10-22,Corporate,Low
183,Customer_183,F,57,Manchester,England,UK,2022-08-20,Premium,Medium
184,Customer_184,M,42,Sydney,NSW,Australia,2024-03-25,Regular,Low
185,Customer_185,F,63,London,England,UK,2023-10-21,Corporate,Low
186,Customer_186,M,25,Toronto,ON,Canada,2022-10-03,Corporate,Low
187,Customer_187,M,55,Vancouver,BC,Canada,2024-06-11,Regular,High
188,Customer_188,F,31,Dallas,TX,USA,2024-01-10,Corporate,Low
189,Customer_189,M,19,Toronto,ON,Canada,2022-09-20,Premium,High
190,Customer_190,M,20,Munich,Bavaria,Germany,2022-09-16,Corporate,High
191,Customer_191,F,65,Munich,Bavaria,Germany,2023-07-14,Corporate,High
192,Customer_192,M,55,Munich,Bavaria,Germany,2023-04-04,Corporate,Low
193,Customer_193,F,63,San Diego,CA,USA,2023-01-17,Regular,High
194,Customer_194,M,66,London,England,UK,2023-12-16,Corporate,Medium
195,Customer_195,F,54,London,England,UK,2024-04-11,Premium,Low
196,Customer_196,M,38,Toronto,ON,Canada,2023-05-21,Corporate,High
197,Customer_197,M,28,Toronto,ON,Canada,2022-05-28,Premium,Low
198,Customer_198,F,57,Vancouver,BC,Canada,2023-01-07,Premium,High
199,Customer_199,F,38,Dallas,TX,USA,2023-09-22,Regular,Medium
200,Customer_200,M,67,Toronto,ON,Canada,2024-03-26,Corporate,High
201,Customer_201,F,18,London,England,UK,2022-09-27,Premium,High
202,Customer_202,M,55,London,England,UK,2023-03-23,Premium,Low
203,Customer_203,F,34,Manchester,England,UK,2023-09-03,Premium,Medium
204,Customer_204,M,66,Manchester,England,UK,2023-02-27,Regular,High
205,Customer_205,F,18,Toronto,ON,Canada,2022-06-20,Corporate,High
206,Customer_206,F,23,Sydney,NSW,Australia,2022-05-25,Premium,High
207,Customer_207,M,41,Sydney,NSW,Australia,2022-01-18,Corporate,Medium
208,Customer_208,M,24,Vancouver,BC,Canada,2024-01-15,Regular,Low
209,Customer_209,M,18,London,England,UK,2022-05-28,Regular,Low
210,Customer_210,F,24,Toronto,ON,Canada,2022-10-13,Corporate,Low
211,Customer_211,M,66,New York,NY,USA,2022-04-22,Premium,Low
212,Customer_212,M,26,San Diego,CA,USA,2024-06-07,Premium,Medium
213,Customer_213,M,47,Munich,Bavaria,Germany,2022-08-10,Corporate,Low
214,Customer_214,M,50,London,England,UK,2023-09-01,Corporate,Medium
215,Customer_215,F,57,Munich,Bavaria,Germany,2022-04-04,Corporate,High
216,Customer_216,F,55,Sydney,NSW,Australia,2022-04-09,Corporate,Low
217,Customer_217,M,60,Munich,Bavaria,Germany,2024-06-10,Premium,High
218,Customer_218,F,55,Manchester,England,UK,2023-07-28,Regular,High
219,Customer_219,F,56,Manchester,England,UK,2022-02-26,Corporate,High
220,Customer_220,F,29,Vancouver,BC,Canada,2023-02-20,Corporate,Low
221,Customer_221,M,50,Dallas,TX,USA,2022-04-24,Regular,High
222,Customer_222,F,22,Munich,Bavaria,Germany,2022-07-23,Premium,Medium
223,Customer_223,F,64,Munich,Bavaria,Germany,2024-05-27,Premium,High
224,Customer_224,F,45,New York,NY,USA,2023-05-26,Premium,Medium
225,Customer_225,F,24,London,England,UK,2024-03-15,Premium,Low
226,Customer_226,F,35,London,England,UK,2022-01-16,Regular,High
227,Customer_227,M,51,Sydney,NSW,Australia,2024-02-12,Corporate,Medium
228,Customer_228,M,58,Munich,Bavaria,Germany,2024-06-05,Premium,Low
229,Customer_229,M,23,Dallas,TX,USA,2024-06-14,Regular,Low
230,Customer_230,F,41,Vancouver,BC,Canada,2022-05-05,Regular,Low
231,Customer_231,F,31,Munich,Bavaria,Germany,2022-02-20,Premium,High
232,Customer_232,F,60,Sydney,NSW,Australia,2023-03-17,Regular,Low
233,Customer_233,M,64,Toronto,ON,Canada,2023-11-11,Corporate,Low
234,Customer_234,F,58,Sydney,NSW,Australia,2022-06-08,Regular,Medium
235,Customer_235,M,37,New York,NY,USA,2023-10-11,Regular,Low
236,Customer_236,M,46,Manchester,England,UK,2023-04-11,Premium,Medium
237,Customer_237,F,55,London,England,UK,2022-10-17,Regular,Low
238,Customer_238,M,30,Vancouver,BC,Canada,2023-06-01,Regular,High
239,Customer_239,F,56,Munich,Bavaria,Germany,2023-01-23,Premium,Medium
240,Customer_240,F,42,Los Angeles,CA,USA,2023-09-25,Premium,Medium
241,Customer_241,M,64,Vancouver,BC,Canada,2022-01-03,Premium,Medium
242,Customer_242,F,39,Toronto,ON,Canada,2024-02-04,Corporate,Medium
243,Customer_243,M,18,New York,NY,USA,2022-11-04,Corporate,High
244,Customer_244,M,42,New York,NY,USA,2022-04-15,Regular,Low
245,Customer_245,F,36,Munich,Bavaria,Germany,2024-01-18,Regular,High
246,Customer_246,F,66,Vancouver,BC,Canada,2022-12-20,Corporate,Medium
247,Customer_247,F,38,New York,NY,USA,2023-05-25,Premium,Low
248,Customer_248,F,55,Manchester,England,UK,2022-10-18,Corporate,Low
249,Customer_249,M,55,New York,NY,USA,2022-04-28,Premium,Medium
250,Customer_250,F,59,Austin,TX,USA,2022-05-30,Premium,High
251,Customer_251,F,60,Sydney,NSW,Australia,2023-08-11,Premium,Medium
252,Customer_252,M,47,Sydney,NSW,Australia,2023-04-16,Premium,Medium
253,Customer_253,M,33,Munich,Bavaria,Germany,2022-12-11,Corporate,Medium
254,Customer_254,M,37,Toronto,ON,Canada,2023-06-15,Corporate,Medium
255,Customer_255,F,22,Munich,Bavaria,Germany,2024-06-15,Premium,High
256,Customer_256,F,68,Munich,Bavaria,Germany,2022-06-05,Premium,High
257,Customer_257,M,38,Vancouver,BC,Canada,2022-09-30,Corporate,High
258,Customer_258,F,37,Munich,Bavaria,Germany,2023-02-15,Premium,Low
259,Customer_259,M,59,Munich,Bavaria,Germany,2022-06-03,Premium,Medium
260,Customer_260,M,55,New York,NY,USA,2022-08-29,Premium,High
261,Customer_261,F,57,Sydney,NSW,Australia,2022-08-31,Regular,Medium
262,Customer_262,F,29,Toronto,ON,Canada,2022-09-04,Regular,High
263,Customer_263,M,57,Dallas,TX,USA,2023-09-03,Regular,High
264,Customer_264,M,58,Sydney,NSW,Australia,2023-10-08,Regular,Low
265,Customer_265,F,56,London,England,UK,2023-08-22,Corporate,Medium
266,Customer_266,F,50,Los Angeles,CA,USA,2024-05-03,Premium,Low
267,Customer_267,M,70,Munich,Bavaria,Germany,2022-06-28,Corporate,Medium
268,Customer_268,M,38,Munich,Bavaria,Germany,2023-12-10,Regular,Medium
269,Customer_269,F,22,Manchester,England,UK,2022-11-01,Premium,High
270,Customer_270,M,46,Munich,Bavaria,Germany,2023-08-18,Premium,Medium
271,Customer_271,M,36,Vancouver,BC,Canada,2022-12-21,Regular,Medium
272,Customer_272,F,56,London,England,UK,2023-10-04,Regular,Low
273,Customer_273,F,66,Manchester,England,UK,2024-04-06,Premium,Medium
274,Customer_274,M,58,Dallas,TX,USA,2022-01-31,Corporate,High
275,Customer_275,F,59,London,England,UK,2024-01-12,Regular,High
276,Customer_276,F,60,Los Angeles,CA,USA,2022-07-01,Corporate,Low
277,Customer_277,F,32,San Diego,CA,USA,2024-04-10,Corporate,Medium
278,Customer_278,F,18,Munich,Bavaria,Germany,2024-04-25,Corporate,Low
279,Customer_279,F,33,Vancouver,BC,Canada,2024-06-07,Corporate,Low
280,Customer_280,M,61,New York,NY,USA,2023-06-02,Regular,High
281,Customer_281,M,46,Sydney,NSW,Australia,2023-04-28,Corporate,Medium
282,Customer_282,F,23,Munich,Bavaria,Germany,2023-02-26,Corporate,Low
283,Customer_283,M,54,New York,NY,USA,2024-03-15,Corporate,Low
284,Customer_284,M,20,Munich,Bavaria,Germany,2022-03-13,Regular,High
285,Customer_285,F,56,Dallas,TX,USA,2022-09-25,Corporate,Medium
286,Customer_286,F,49,Munich,Bavaria,Germany,2022-06-02,Corporate,High
287,Customer_287,F,59,Austin,TX,USA,2023-05-18,Premium,Medium
288,Customer_288,M,40,New York,NY,USA,2024-05-12,Premium,Medium
289,Customer_289,M,62,Dallas,TX,USA,2023-12-15,Premium,High
290,Customer_290,M,69,Dallas,TX,USA,2023-02-28,Premium,Medium
291,Customer_291,F,27,Vancouver,BC,Canada,2022-10-25,Corporate,Medium
292,Customer_292,M,54,London,England,UK,2023-03-28,Premium,High
293,Customer_293,M,59,Munich,Bavaria,Germany,2022-08-21,Premium,Low
294,Customer_294,F,68,Munich,Bavaria,Germany,2024-06-14,Corporate,Low
295,Customer_295,M,61,New York,NY,USA,2023-09-24,Regular,Medium
296,Customer_296,M,29,New York,NY,USA,2023-08-13,Corporate,Low
297,Customer_297,F,18,Munich,Bavaria,Germany,2022-07-02,Corporate,Medium
298,Customer_298,F,28,Manchester,England,UK,2022-06-22,Corporate,Medium
299,Customer_299,M,67,Vancouver,BC,Canada,2024-04-01,Regular,Low
300,Customer_300,F,59,Munich,Bavaria,Germany,2023-08-14,Regular,Medium
301,Customer_301,M,34,Munich,Bavaria,Germany,2022-05-27,Premium,High
302,Customer_302,F,33,Munich,Bavaria,Germany,2023-05-17,Regular,High
303,Customer_303,M,57,Sydney,NSW,Australia,2023-07-07,Premium,High
304,Customer_304,M,25,Vancouver,BC,Canada,2022-07-19,Corporate,Low
305,Customer_305,F,60,Los Angeles,CA,USA,2022-11-02,Premium,High
306,Customer_306,M,59,Toronto,ON,Canada,2023-04-27,Regular,Low
307,Customer_307,F,58,Munich,Bavaria,Germany,2023-04-26,Premium,High
308,Customer_308,M,58,Sydney,NSW,Australia,2023-11-23,Corporate,Medium
309,Customer_309,F,70,Austin,TX,USA,2024-01-22,Regular,Medium
310,Customer_310,F,61,Toronto,ON,Canada,2022-12-12,Regular,Medium
311,Customer_311,F,54,Vancouver,BC,Canada,2023-01-09,Premium,Low
312,Customer_312,M,55,Sydney,NSW,Australia,2024-03-02,Regular,Medium
313,Customer_313,M,49,Vancouver,BC,Canada,2023-11-23,Premium,Low
314,Customer_314,M,37,New York,NY,USA,2023-07-03,Premium,High
315,Customer_315,M,43,Manchester,England,UK,2022-12-24,Premium,Low
316,Customer_316,M,39,Vancouver,BC,Canada,2024-03-30,Premium,High
317,Customer_317,M,20,Los Angeles,CA,USA,2022-07-07,Premium,Low
318,Customer_318,M,50,London,England,UK,2022-01-23,Premium,Medium
319,Customer_319,M,67,Vancouver,BC,Canada,2023-04-17,Premium,Low
320,Customer_320,M,33,Munich,Bavaria,Germany,2024-02-27,Regular,Medium
321,Customer_321,M,25,Sydney,NSW,Australia,2023-03-13,Corporate,High
322,Customer_322,M,70,New York,NY,USA,2022-07-01,Corporate,Medium
323,Customer_323,F,49,Toronto,ON,Canada,2022-09-14,Premium,Medium
324,Customer_324,F,24,Los Angeles,CA,USA,2023-08-10,Premium,Low
325,Customer_325,F,37,Manchester,England,UK,2023-07-21,Regular,High
326,Customer_326,F,39,Toronto,ON,Canada,2022-07-26,Premium,Medium
327,Customer_327,F,19,London,England,UK,2024-03-14,Corporate,Medium
328,Customer_328,M,41,London,England,UK,2022-05-04,Corporate,Low
329,Customer_329,M,33,Munich,Bavaria,Germany,2022-11-24,Regular,Low
330,Customer_330,M,23,London,England,UK,2023-04-01,Premium,Low
331,Customer_331,M,66,Manchester,England,UK,2023-04-15,Regular,High
332,Customer_332,F,44,Sydney,NSW,Australia,2022-06-09,Regular,Low
333,Customer_333,F,31,Sydney,NSW,Australia,2022-10-21,Premium,High
334,Customer_334,F,39,Austin,TX,USA,2024-02-23,Premium,Medium
335,Customer_335,M,41,Manchester,England,UK,2022-01-19,Corporate,Medium
336,Customer_336,F,25,Toronto,ON,Canada,2023-08-28,Premium,Low
337,Customer_337,F,60,Munich,Bavaria,Germany,2022-07-10,Corporate,High
338,Customer_338,F,55,Vancouver,BC,Canada,2022-07-13,Regular,Low
339,Customer_339,F,42,Sydney,NSW,Australia,2024-01-10,Corporate,Medium
340,Customer_340,M,68,Manchester,England,UK,2023-05-30,Premium,Medium
341,Customer_341,F,55,Sydney,NSW,Australia,2022-08-12,Regular,Medium
342,Customer_342,M,52,New York,NY,USA,2023-05-21,Corporate,Low
343,Customer_343,M,59,Munich,Bavaria,Germany,2023-11-07,Corporate,High
344,Customer_344,M,64,London,England,UK,2022-12-25,Regular,Medium
345,Customer_345,F,26,Toronto,ON,Canada,2022-08-31,Corporate,High
346,Customer_346,F,67,Dallas,TX,USA,2022-07-08,Corporate,Low
347,Customer_347,F,18,Munich,Bavaria,Germany,2022-07-26,Regular,Medium
348,Customer_348,M,57,Sydney,NSW,Australia,2022-12-01,Corporate,Low
349,Customer_349,M,54,London,England,UK,2024-02-19,Regular,Low
350,Customer_350,F,61,Vancouver,BC,Canada,2023-09-13,Regular,Medium
351,Customer_351,F,60,San Diego,CA,USA,2022-10-22,Corporate,Medium
352,Customer_352,M,50,Toronto,ON,Canada,2024-06-13,Premium,Low
353,Customer_353,F,27,New York,NY,USA,2022-03-04,Corporate,Low
354,Customer_354,F,26,Vancouver,BC,Canada,2024-03-07,Regular,Medium
355,Customer_355,M,51,New York,NY,USA,2022-07-13,Premium,High
356,Customer_356,F,21,Vancouver,BC,Canada,2024-05-11,Regular,Medium
357,Customer_357,F,24,Manchester,England,UK,2024-03-08,Regular,Low
358,Customer_358,F,28,London,England,UK,2024-04-30,Regular,Medium
359,Customer_359,M,19,New York,NY,USA,2023-06-19,Corporate,Low
360,Customer_360,M,31,Sydney,NSW,Australia,2023-12-30,Regular,High
361,Customer_361,F,66,Munich,Bavaria,Germany,2022-12-13,Corporate,High
362,Customer_362,M,67,Munich,Bavaria,Germany,2024-05-31,Regular,Low
363,Customer_363,F,29,Munich,Bavaria,Germany,2022-06-07,Corporate,Medium
364,Customer_364,M,23,San Diego,CA,USA,2023-08-24,Regular,Low
